AthleteID,Sex,BestMedal,NSeasons
1,M,None,1
10,M,None,1
100,M,Bronze,1
1000,M,Bronze,1
10000,M,None,1
100000,M,Gold,1
100001,F,Bronze,1
100002,M,None,1
100003,F,None,1
100005,F,None,1
100006,F,Silver,2
100007,M,None,1
100008,F,None,1
100009,M,None,2
100010,M,None,1
100011,M,None,1
100012,F,Bronze,1
100013,M,Silver,1
100014,M,None,1
100015,F,None,1
100016,M,None,1
100017,M,None,1
100018,F,None,1
100019,F,None,1
10002,M,None,1
100021,F,None,3
100022,F,None,1
100023,F,Bronze,3
100024,M,None,1
100025,F,None,1
100026,F,None,1
100027,M,None,2
100028,M,None,1
100029,M,Bronze,1
10003,F,None,1
100030,M,None,2
100031,M,None,1
100032,M,Silver,3
100033,M,None,2
100034,M,None,1
100035,M,None,1
100036,M,None,1
100037,M,None,2
100038,F,None,1
100039,F,None,1
10004,M,None,1
100040,M,None,4
100041,M,None,1
100042,M,None,1
100043,M,None,1
100044,M,None,1
100045,M,None,2
100046,F,Silver,2
100047,F,None,1
100048,M,None,1
100049,M,None,1
10005,F,None,1
100050,M,Gold,3
100051,M,None,1
100052,M,None,1
100053,M,None,2
100054,M,None,2
100055,M,Bronze,3
100056,M,None,1
100057,F,None,1
100058,M,None,3
100059,M,None,1
10006,F,None,2
100060,M,None,2
100061,M,None,1
100062,M,None,1
100063,M,None,1
100064,M,Silver,1
100065,M,None,1
100066,F,None,1
100068,M,None,2
100069,M,None,1
10007,F,None,2
100070,M,None,1
100071,M,Silver,3
100072,M,Gold,1
100073,M,Gold,3
100074,M,None,1
100075,M,None,1
100076,M,None,1
100077,F,None,1
100078,M,None,4
100079,M,None,2
10008,M,Gold,2
100080,M,None,2
100081,M,None,1
100082,F,None,2
100083,M,None,1
100084,M,None,1
100085,F,None,1
100086,M,None,2
100087,M,None,1
100088,F,None,1
100089,M,None,1
10009,M,None,1
100090,M,None,1
100091,F,None,1
100092,M,Bronze,1
100093,F,None,2
100094,M,Bronze,2
100095,M,Bronze,1
100096,M,None,1
100097,M,Silver,1
100098,M,None,2
100099,M,None,1
1001,M,None,1
10010,M,None,1
100100,F,Bronze,1
100101,M,None,1
100102,M,None,1
100103,M,None,3
100104,F,None,1
100106,F,Gold,1
100107,M,None,1
100108,M,None,1
100109,M,None,3
10011,M,Gold,2
100110,F,Bronze,4
100111,M,None,1
100112,M,None,1
100114,M,None,1
100115,F,None,1
100116,M,None,3
100118,M,Silver,1
100119,M,None,1
10012,M,Bronze,2
